run_id,frame_idx,ts,eye_distance_px,face_height_px,face_area_ratio,head_tilt_h,head_tilt_v,label
eb244322,0,1756287920214,83,122,0.0742,126.1041,0.0015,head_left
eb244322,1,1756287920279,85,136,0.0832,125.4905,0.019,head_left
eb244322,2,1756287920294,85,137,0.0838,125.2922,0.0199,head_left
eb244322,3,1756287920310,85,138,0.0838,125.3729,0.0212,head_left
eb244322,4,1756287920338,85,137,0.0838,125.2922,0.0229,head_left
eb244322,5,1756287920370,85,137,0.0843,125.2922,0.023,head_left
eb244322,6,1756287920408,85,137,0.0843,125.5699,0.0264,head_left
eb244322,7,1756287920439,85,137,0.0843,125.5699,0.0241,head_left
eb244322,8,1756287920466,85,137,0.0848,125.2922,0.0229,head_left
eb244322,9,1756287920503,85,137,0.0848,125.2922,0.0223,head_left
eb244322,10,1756287920536,85,137,0.0848,125.2922,0.0231,head_left
eb244322,11,1756287920567,85,138,0.0843,125.0959,0.0223,head_left
eb244322,12,1756287920617,85,138,0.0843,125.3729,0.0222,head_left
eb244322,13,1756287920648,85,137,0.0848,125.2922,0.0208,head_left
eb244322,14,1756287920680,85,137,0.0848,125.2922,0.0223,head_left
eb244322,15,1756287920713,85,137,0.0838,125.5699,0.0217,head_left
eb244322,16,1756287920744,85,137,0.0843,125.2922,0.0225,head_left
eb244322,17,1756287920773,84,137,0.0843,125.2922,0.0228,head_left
eb244322,18,1756287920810,85,137,0.0843,125.5699,0.0233,head_left
eb244322,19,1756287920836,85,137,0.0843,125.5699,0.0238,head_left
eb244322,20,1756287920847,85,137,0.0843,125.5699,0.0246,head_left
eb244322,21,1756287920866,84,137,0.0843,125.5699,0.0241,head_left
eb244322,22,1756287920954,84,137,0.0843,125.2922,0.0239,head_left
eb244322,23,1756287920983,85,137,0.0843,125.2922,0.0237,head_left
eb244322,24,1756287921017,84,137,0.0843,125.2922,0.0238,head_left
eb244322,25,1756287921046,84,137,0.0843,125.2922,0.0239,head_left
eb244322,26,1756287921080,84,137,0.0843,125.2922,0.023,head_left
eb244322,27,1756287921114,84,137,0.0838,125.2922,0.0239,head_left
eb244322,28,1756287921145,84,137,0.0838,125.2922,0.0219,head_left
eb244322,29,1756287921174,84,137,0.0838,125.2922,0.022,head_left
eb244322,30,1756287921191,84,137,0.0833,125.2922,0.0221,head_left
eb244322,31,1756287921205,84,137,0.0838,125.2922,0.0221,head_left
eb244322,32,1756287921239,84,137,0.0833,125.2922,0.0232,head_left
eb244322,33,1756287921289,84,137,0.0838,125.2922,0.0209,head_left
eb244322,34,1756287921357,84,137,0.0838,125.2922,0.0214,head_left
eb244322,35,1756287921385,84,137,0.0843,125.2922,0.0186,head_left
eb244322,36,1756287921419,85,137,0.0843,125.2922,0.0177,head_left
eb244322,37,1756287921447,84,137,0.0843,125.2922,0.0197,head_left
eb244322,38,1756287921480,84,137,0.0843,125.5699,0.0199,head_left
eb244322,39,1756287921512,85,137,0.0843,125.2922,0.0194,head_left
eb244322,40,1756287921538,85,137,0.0843,125.2922,0.0183,head_left
eb244322,41,1756287921553,84,137,0.0843,125.5699,0.0193,head_left
eb244322,42,1756287921572,84,136,0.0838,125.7689,0.0188,head_left
eb244322,43,1756287921630,85,137,0.0848,125.5699,0.0207,head_left
eb244322,44,1756287921656,84,137,0.0838,125.5699,0.02,head_left
eb244322,45,1756287921692,85,136,0.0843,126.0454,0.0219,head_left
eb244322,46,1756287921757,85,136,0.0843,126.0454,0.0207,head_left
eb244322,47,1756287921787,85,135,0.0838,125.9698,0.0211,head_left
eb244322,48,1756287921817,85,136,0.0843,126.0454,0.0226,head_left
eb244322,49,1756287921848,84,136,0.0838,125.7689,0.0245,head_left
eb244322,50,1756287921860,84,136,0.0838,126.0454,0.0245,head_left
eb244322,51,1756287921876,84,136,0.0843,126.32,0.0252,head_left
